shadjamam|షడ్జమం  
Imaya Malai Petra|ఇమయ మలై  పెట్ర
Inba kanaa ondru kanden|ఇంబ  కనా ఒండ్రు కందెన్   
Inbamenbadilaiye| ఇంబమెంబదిలైయె
Inda Paramukhama|ఇంద పరముఖమ 
Inda Tiruvadivam|ఇంద తిరువదివం 
Inda Vibhisanan|ంద విభిసనన్
Indap Pratapamum|ఇందప్ ప్రతపముం 
Indattamadam|ఇందత్తమదం 
Indira Ramana Govinda|ఇందిర రమణ  గోవింద
Indu enage|ఇందు ఎనగె 
Induka I Tanavunu Bencina|ఇందుకా  నేను తనువును బెంచిన 
Indukaa ee tanuvunu|ఇందుకా   ఈ  తనువును
Indukaa puttincitivi|ఇందుకా  పుట్టించితివి 
Indukemi setu|ఇందుకెమి సెతు
Indumukhi|ఇందుముఖి 
Inge Irum Kanum|ంగే ఇరమ్ కానుం
Ini Namakkoru|ఇని నమక్కొరు 
Ini Oru Kanam|ఇని ఒరు  కణం 
Ini namakkoru|ఇని  నమక్కోరు 
Iniyaghilum Ninai|ఇనియాగీలుమ్ నినై 
Inka Daya Raleda|ఇంక  దయ రాలేద 
Inka yocana|ఇంక యొచన 
Inkaa daya raakunte|ఇంకా దయ రాకుంటె  
Inkevarunnaru|ఇంకెవరున్నరు 
Inn aallu|ఇన్ ఆల్లు 
Innaallavale|ఇన్నాల్లవలె 
Innaallu nannelli|ఇన్నాల్లు నన్నెల్లి 
Innam Varak Kanen|ఇన్నం వరక్ కనెన్ 
Innam en manam (varnam)|ఇన్నం  ఎన్   మనం (వర్ణం )
Innamum Oru Taram|ఇంనముం   ఓరు  తరం  
Innamum Sandehappadalamo|ఇంనముం సందేహప్పదలమొ 
Innamum Shodanaiyo-varnam|ఇంనముం షోడనైయొ-వర్ణం 
Innamum sandehappadalaamo|ఇంనముం సందేహప్పదలామొ 
Innum Tamadam Eno Varnam|ఇన్నుమ్ తమదం ఎనో వర్ణం 
Innum Tamadamen|ఇన్నుమ్  తమదమెన్ 
Innum enna sodanai|ఇన్నుమ్ ఎన్న  సోదనై 
Innum paraamukhameno|ఇన్నుమ్ పరాముఖమెనో 
Innum vandaarillaiye|ఇన్నుమ్ వందారిల్లైయే 
Inta Calamu Jesite-varnam|ఇంత  చలము జేసితే -వర్ణం 
Inta Cauka Seya Idi-varnam|ఇంత చౌక సేయ ఇది -వర్ణం 
Inta Kopamelara-varnam|ఇంత కోపమేలార  -వర్ణం 
Inta Parakelanamma|ఇంత  పరకేలనమ్మ
Inta Parakelanayya|ఇంత  పరకేలనయ్య 
Inta Paraku Nive|ఇంత పరకు  నీవె  
Inta Saukhyamani Ne Ceppajala|ఇంత  సౌఖ్యమని నె చెప్పజాల 
Inta Tamasa-varnam|ఇంత తమస -వర్ణం 
Inta Tamasamaite|ఇంత   తమసమైతే 
Inta bhaagyamani|ఇంత  భాగ్యమని 
Inta kante|ఇంత  కంటె 
Inta kopamelaraa (varnam)|ఇంత  కోపమెలరా (వర్ణం)
Inta paraakelaraa (varnam)|ఇంత  పరాకేలరా   (వర్ణం )
Inta paraaku neeve|ఇంత  పరాకు నీవె 
Inta sowkhyamani ne|ఇంత  సౌఖ్యమని నె 
Inta taamasamaite|ఇంత  తామసమైతె
Intakanna Delpa Tarama|ఇంతకన్న దెల్ప తరమ 
Intakanna delpa|ఇంతకన్న  దెల్ప 
Intakannaanandam|ఇంతకన్నానందం 
Intakannanandamemi|ఇంతకన్నానందమేమి 
Intakante Kavalena|ఇంతకంటే కవలెన 
Intamarmi vanucu|ఇంతమర్మి వనుచు 
Intamodi Seya-varnam|ఇంతమొది సెయ -వర్ణం 
Intamodi seya (varnam)|ఇంతమొది  సెయ (వర్ణం )
Intanucu Varnimpa Tarama|ఇంతనుచు వర్ణింప తరమ 
Intanucu varnimpa|ఇంతనుచు వర్ణింప 
Ipudaina Nannu Dalacinara|ఇపుడైన నన్ను దలచినర
Irakkam Varamal|ఇరక్కం  వరమల్  
Irakkam varaamal|ఇరక్కం వరామల్ 
Irangaadaa saaminaathaa|ఇరంగాదా  సామినాథా 
Irangada Saminatha|ఇరంగద సామినాథ 
Iravum pagalum|ఇరవుమ్ పగలుమ్  
Isha Pahimam Jagadisha|ఇష పహిమం జగదీశ 
Ishaiyin ellaiyai|ఇషైయిన్ ఎల్లైయై 
Ishan Anbarkk-uvamai|ఇషన్ అంబర్క్ -ఉవమై  
Ishane Inda Ezahai|ఇషనే  ఇంద  ఏజహై
Itara daivamula|ఇతర దైవముల 
Itaramu leruganayyaa|ఇతరము  లెరుగనయ్యా 
Ittivaru Letiki|ఇట్టివరు లెటికి 
Itu Sahasamulu|ఇటు సహసములు 
Itu paraaku|ఇటు పరాకు 
Itu saahasamula|ఇటు సాహసముల 
Ivan yaaro|ఇవన్ యారొ 
Ivaraku Jucinadi Calada|ఇవరకు జుచినది చాలద 
Jaalandhara|జాలంధర 
Jaanakee naayaka|జానకీ నాయక 
Jaanakee ramanaa|జానకీ రమణా 
Jaanaki ramana|జానకి రమణ 
Jagadaananda kaaraka|జగదానంద కారక 
Jagadanandakaraka Jayajanaki|జగదనందకరక జయజనకి 
Jagadeesha guruguha (note)|జగదీశ గురుగుహ  (స్వరం)
Jagadeeshwari|జగదీశ్వరి 
Jagadguro|జగద్గురొ 
Jagadguro Dayanidhe|జగద్గురొ దయనిదే  
Jagadisa Pancaksara|జగదీస పంచాక్షర 
Jagadoddhaaranaa|జగదోద్ధారనా 
Jagajjananee|జగజ్జననీ 
Jagasisa Dada|జగసిస దాదా 
Jagelara janakaja|జగేలర జనకజ
Jalajabandhu|జలజబంధు 
Jalajaksha Ninnedabasi-varnam|జలజక్ష నిన్నెడబసి -వర్ణం 
Jalajaksi Ninne Dalaci|జలజక్షి నిన్నె దలచి
Jalajanabha Mamava|జలజనభ  మమవ  
Jalandhara Supithaste|జలంధర సుపితస్తే 
Jambupate Mam Pahi|జంబుపతే మం ఫహి 
Jamuna Kinare|జమున కినరే 
Janaka manoharam|జనక మనోహరం 
Janaka suta (geetam)|జనక సుత (గీతం )
Janakaja Sameta|జనకజ  సమెత 
Janakajaa sameta|జనకజా సమెత 
Janaki Manoharam Bhajeham|జానకి  మనోహరం భజేహం 
Janaki Nayaka Niku Jayamangalam|జానకి నాయక నీకు జయమంగళం 
Janaki Ramana|జానకి రమణ 
Janaki Vallabha|జానకి వల్లభ 
Janakipate Jaya|జానకిపతే జయ
Jananee ninnuvinaa|జననీ  నిన్నువినా 
Janani Mamava|జనని  మమవ 
Janani Natajana Paripalini|జనని  నతజన  పరిపాలిని 
Janani Ninnuvina|జనని  నినువిన 
Janani Pahi Sada|జనని  పహీ  సద 
Janani aashrta|జనని ఆష్ర్త
Japa Kusuma|జప కుసుమ
Japaa kusuma|జపా కుసుమ
Jataadhara shankara|జతాధర శంకర 
Jaya Devi|జయ దెవి 
Jaya Jaagadisa|జయ జాగదిస 
Jaya Jaya Guha|జయ జయ గుహ 
Jaya Jaya Gurunatha|జయ జయ గురునాథ 
Jaya Jaya Janaka Sute|జయ జయ జనక సుతే 
Jaya Jaya Shri Raghurama|జయ జయ శ్రీ రఘురామ 
Jaya Jaya Vijaya Vinayakam|జయ జయ విజయ వినాయకం 
Jaya Mahishasura|జయ మహిషాసుర 
Jaya Mangalam Nitya|జయ మంగళం  నిత్య
Jaya jaya bhasmo|జయ జయ భస్మో 
Jaya jaya devi|జయ జయ దేవి 
Jaya jaya gokulabaala|జయ జయ గోకులబాల 
Jaya jaya jaya|జయ జయ జయ
Jaya jaya jaya jaanakikaantaa|జయ జయ జయ జానకికాంతా 
Jaya jaya padmanaabhaanujesha|జయ జయ పద్మనాభానుజేష  
Jaya jaya shree raghuraamaa|జయ జయ శ్రీ రఘురామా !
Jaya karunaasindho (geetam)|జయ కరుణాసింధో    (గీతం )
Jaya mahishasura|జయ మహిషాసుర 
Jaya naaraayana|జయ నారాయణ 
Jayajaya Devi|జయజయ దేవి
Jayajaya Padmanabha|జయజయ పద్మనాభ 
Jayajaya Raghurama|జయజయ రఘురామ!
Jayamangalam|జయమంగళం
Jayamangalam Nitya|జయమంగళం నిత్య
Jayamangalam nithya shubamangalam|జయమంగళం నిత్య శుభమంగళం
Jayamangalam nitya shubhamangalam|జయమంగళం నిత్య శుభమంగళం
Jayati Shivabhavani|జయతి  శివభవని 
Jayati jayati|జయతి జయతి
Jayati jayati jaya shankara|జయతి జయతి జయ శంకర
Je je seetaaraam|జె జె సీతారాం 
Jeeva muraliyile|జీవ మురళియిలే 
Jhankaara shruti|జహంకార శృతి 
Jhoolat raadhaa (bhajan)|ఝూలత్ రాధా (భజన్)
Jnaana mosaga|జ్ఞాన మోసగ 
Jnaana swaroopamu|జ్ఞాన స్వరూపము 
Jnaanappaal arulvaay|జ్ఞానప్పాల్  అరుల్వాయ్ 
Jnana Sabhaiyil|జ్ఞాన సభైయిల్ 
Jnanamosaga Rada|జ్ఞానమోసగ  రాదా 
Jnanamosagarada|జ్ఞానమొసగరాదా 
Jo Jo Rama Ananda Ghana|జో  జో రామ ఆనంద ఘన
Jo accutaananda (laali)|జో అచ్చుతానంద (లాలి )
Jo jo raamaa|జో జో రామా 
Jvalajjihve Jvalamukhi|జ్వలజ్జిహ్వే  జ్వలముఖి 
Jvalajjihve |జ్వలజ్జిహ్వే  
joyothiswaruupini jaya|జొయోతిస్వరూపిణి జయ 
ka guha|క  గుహ 
ka murugayaa|క  మురుగయ్య 
ka va va kaada va va|క వ వ కాద   వ వ
Kaa guhaa|కా గుహా 
Kaa murugayyaa|కా మురుగయ్య
Kaa vaa vaa|కా వా వా 
Kaakutstha tilakudu|కాకుత్స్థ  తిలకుడు 
Kaal maari aadiya|కాల్ మారి  ఆడియ 
Kaalaateetaaya|కాలాతీతాయ
Kaalaharana|కాలహరణ 
Kaalai tookki ninru|కాలై తూక్కి నిన్రు 
Kaalam vipareetam|కాలం విపరీతం 
Kaalaraatri|కాలరాత్రి 
Kaalinga nartthana tillaanaa (taam dheem tarana)|కాలింగ నర్తన తిల్లానా  (తాం ధీమ్   తరన )
Kaalinga nartthana tillaanaa (taam dheem tarana) version 2|కాలింగ నర్తన తిల్లానా  (తాం  ధీమ్ తరన ) వెర్షన్  2
Kaamaakshee (swarajati)|కామాక్షీ (స్వరజతి)
Kaamaakshi ninne (varnam)|కామాక్షి నిన్నె (వర్ణం )
Kaamaarim bhaja|కామారీం భజ 
Kaamadhenukaa|కామధేనుకా 
Kaamesha baddha|కామేష  బద్ధ 
Kaameshvari|కామేష్వరి 
Kaana kan kodi|కాన కన్ కోడి  
Kaana kan koti|కాన కన్  కోటి
Kaana venum laksham kangal|కాన వెనుమ్ లక్షం  కంగల్ 
Kaanarasamudan|కానరసముదన్ 
Kaanbadeppo|కాంబడిపో 
Kaancheesham (note)|కాంచీషమ్  (స్వరం)
Kaapaadu gananaatha|కాపాడు గణనాథ
Kaaranam kettu vaadi|కారణం కేతు వాడి 
Kaaranamemi kaanane|కానరమేమి కాననె 
Kaartikeya kaangeya|కార్తికెయ కాంగెయ
Kaaru velpulu|కారు వెల్పులు 
Kaarubaaru seyuvaaru|కారుబారు సేయువారు 
Kaarunya kanda|కారుణ్య కంద 
Kaasiccede|కాసిచ్చేదె 
Kaathyaayani|కాత్యాయని 
Kaattirukkinren en ayyaa|కాత్తిరుక్కిన్రేన్ ఎన్ అయ్యా 
Kadaikkan Nokki Kavadadum|కడైక్కన్ నొక్కి కావడడం
Kadaikkan Parvai|కడైక్కన్ పర్వై 
Kadaikkan nokki|కడైక్కన్ నొక్కి 
Kadaikkan paarvaiyadu|కడైక్కన్ పార్వైయడు
Kadaikkan vaittennai|కడైక్కన్ వైత్తేన్నై 
Kadaikkannal Irangi|కడైక్కన్నల్ ఇరంగి
Kadale Vadu Gade Ramudu|కడలే  వాడు గదె రాముడు 
Kadale vaadu gaade|కడలే వాడు గాదె 
Kadalil Amizhndiduvom|కదలిల్ ఆమిజ్హందిదువొం
Kadamba Vanavasini|కదంబ వనవాసిని 
Kadambari Priyayai|కదంబరి ప్రియయై 
Kadatera raadaa|కదతెర రాదా 
Kadavul Arulai|కడవుల్ ఆరులై
Kadavulai Maravade|కడవులై మరవడే 
Kadavulai maravaade|కడవులై మరవాడే
Kaddanu Variki Kaddukaddani|కద్దను వరికి కద్దుకద్దని
Kaddanuvaariki|కద్దనువారికి 
Kadir Kama Kandan|కదిర్ కమ కందన్
Kadiruvenu|కదిరువెను 
Kai Koduppaye|కై కొదుప్పయే 
Kaikkooda|కైక్కూడ
Kailaasavaasam|కైలాసవాసం 
Kailasa Nathena Samraksitoham|కైలాస నాథేన సంరక్షితోహం 
Kailasapate|కైలాసపతే 
Kailasavasam|కైలాసవసం
Kaividaade duraiye|కైవిదాదె దురైయె
Kakka Unakkirakkam|కక్క  ఉనక్కిరక్కం
Kala Haranamelara Hare|కల  హరనమెలర హరే 
Kala Kalan Kayilai Nathan|కల కలన్ కయిలై  నథన్
Kalaimagale|కలైమగలే
Kalakanthii|కలకాంతి 
Kalala Nercina|కలల నేర్చిన 
Kalala nercina|కలల నేర్చిన 
Kalangaade maname|కలంగాదె మనమె
Kalangade Maname|కలంగదె మనమె
Kalaratri Svarupini Amba|కలరత్రి స్వరూపిని అంబ
Kalasha Vardhijam Satatam|కలష వర్ధిజం సతతం 
Kalashavaardhijaam|కలషవార్ధిజాం
Kalavati Kamalananayuvati|కలవతి కమలననయువతి
Kalaya yashode|కలయ యశోదే 
Kalayami Hrudinanda|కలయమి హ్రుదినంద
Kalayami Raghuramam|కలయమి రఘురామం 
Kalayami Sriramam|కలయమి శ్రీరామం
Kalaye Parvatinatham|కలయే పార్వతినాథం 
Kali Teera|కలి  తీర 
Kali Tira Vandarul|కలి తిర వందరుల్ 
Kali teera|కలి తీర 
Kali teerumo|కలి తీరుమొ 
Kaligiyuntegada Galgunu|కలిగియుంతేగద గల్గును 
Kaligiyuntegadaa|కలిగియుంతేగదా 
Kaliki ninne (varnam)|కలికి నిన్నె (వర్ణం )
Kalilo Hari|కలిలో హరి 
Kalilo hari|కలిలో హరి 
Kalinarulaku|కలినరులకు 
Kalinarulaku Mahimalu|కలినరులకు  మహిమలు 
Kalinarulaku Ni Mahima|కలినరులకు  నీ మహిమ 
Kaliyuga Varadan|కలియుగ వరదన్ 
Kallaada ezhaiyallavo|కళ్లాద ఏజయ్యాల్లవో 
Kalpakambikai Ni|కల్పకంబికై  ని
Kaluguna Pada Nirajaseva|కలుగున పద నిరజసెవ 
Kalugunaa pada|కలుగునా పద 
Kalyaanaraama|కళ్యాణరామ  
Kamajanaka Ripuguna|కమజనక  రిపుగున 
Kamakshi Ninne-varnam|కమక్షి  నిన్నె-వర్ణం 
Kamakshim Kalyanim Bhajeham|కామక్షిమ్ కల్యాణీం భజేహం 
Kamaksi Anudinamu-swarajati|కామక్సి అనుదినము-స్వరజతి
Kamaksi Bangaru Kamaksi|కామక్సి బంగరు  కామక్సి 
Kamaksi Gauri|కామక్సి గౌరి 
Kamaksi Kamakoti Pithavasini|కామక్సి కామకోటి పీతవాసిని 
Kamaksi Nato Vada Dayaleda|కామక్సి నతో  వద దయలేద
Kamaksi Ni Padayugame|కామక్సి ని పాదయుగమే 
Kamaksi Pahimam Minaksi|కామక్సి పాహిమాం మినక్సి 
Kamaksi Varalaksmi Kamalaksi|కామక్సి  వరలక్ష్మి కమలక్సి 
Kamala Ambike Aahrta Kalpalatike|కమల అంబికే ఆహర్త కల్పలతికే 
Kamala Carane|కమల చరనే 
Kamala Dalayata|కమల దళయత 
Kamala bhavudu|కమల భవుడు 
Kamala carane|కమల చరణే 
Kamala dalaayata|కమల దళాయత
Kamala jaadala (geetam)|కమల జాడల  (గీతం )
Kamala pada|కమల పద 
Kamala sulocana (geetam)|కమల సులోచన  (గీతం )
Kamalaasana vandita (note)|కమలాసన  వందిత  (స్వరం)
Kamalaasini sundari|కమలాసిని  సుందరి 
Kamalajasya|కమలజస్య 
Kamalamba Na Chinta|కమలంబ న చింత 
Kamalamba Samraksatu|కమలంబ సంరక్షతు 
Kamalambam Bhajare|కమలంబ భజరే 
Kamalambikayaha|కమలంబికయహ
Kamalambikayai Kanakamshukayai|కమలంబికయై కనకంశుకయై 
Kamalambike Mamava|కమలంబికె  మమవ 
Kamalanayana Vasudeva|కమలనయన  వసుదెవ
Kamalanayana vaasudeva|కమలనయన  వాసుదెవ
Kamalappada Malarinai|కమలప్పద  మలరినై 
Kamalaptakula Kalashabdhi|కమలప్తకుల కలషబ్ధి
Kamalasini Sundari|కమలసిని సుందరి 
Kamesha Baddha|కమెష భద్ధ
kameswari |కామేశ్వరి 
Kamsaantaka|కాంశాంతాకా 
Kan Parayya|కన్ పరయ్య  
Kan paarayyaa|కన్ పారయ్యా 
Kana Kan Koti|కన కన్ కోటి  
Kana Vendamo Iru Kan|కన వెండమో ఇరు కన్ 
Kana Venum Laksam Kangal|కన వేణుమ్ లక్సమ్ కంగల్ 
Kana kana ruciraa|కన కన రుచిరా 
Kanaka Mayoora|కనక మయూర 
Kanaka Sabeshan|కనక సబేషన్ 
Kanaka Sabhai|కనక  సభై 
Kanaka Sabhai Tirunatanam|కనక సభై తిరునతనం 
Kanaka Sabhapati|కనక సభపతి 
Kanaka Sabhapatikku|కనక సభపతిక్కు 
Kanaka Shaila Viharini|కనక శైల విహరిని 
Kanaka mayoora|కనక మయూర 
Kanaka shaila|కనక శైల 
Kanakaangakaa|కనకాంగకా 
Kanakamayamayidum|కనకమయమయిదుం 
Kanakana Rucira Kanakavasana|కనకన రుచిర కనకవసన 
Kanakangaka|కనకంగక 
Kanakangi Ni Celimi-varnam|కనకంగి ని చెలిమి-వర్ణం 
Kanakavela|కనకవేల 
Kanakkan Koti Vendum|కనక్కన్ కోటి వేండుం 
Kanavilaagiyum vanden|కనవిలాగియుమ్  వండెన్ 
Kanavilum kamala|కనవిలుమ్  కమల
Kanbadenro Nam|కంబదేంరో నమ్ 
Kanbedeppoden Ayyane|కంబెదెప్పొదెన్ ఆయ్యనె
Kancadalaayadaakshee|కంచదలాయదాక్షీ
Kanda Bhakta|కంద భక్త 
Kanda Vandarul|కంద వందరుల్ 
Kandaa bhakta|కందా భక్త 
Kandaa karpaka|కందా కర్పక 
Kandan karunai|కందన్ కరునై 
Kandanaal mudalaay|కందనాల్ ముదలాయ్ 
Kandanai ninaindu|కందనై నినైందు 
Kandavar maravaare|కందవర్ మరవారే 
Kandavudan ullam|కందవుడన్ ఉల్లం  
Kanden Kali Tirnden|కండెన్  కలి తీరేండేన్ 
Kanden Kanden|కండెన్ కండెన్
Kanden kanden|కండెన్ కండెన్
Kandenaa govindanaa|కండెన్ గోవిందనా 
Kandu kanden|కందు కండెన్
Kanikaramu Leda|కనికరము లేద 
Kanikaramu Leka|కనికరము లేక 
Kanindarul Purindal|కనిందరుల్  పురిందల్
Kanindarul purindaal|కనిందరుల్ పురిందాల్ 
Kanire Kanjamalar|కనీరే కంజమలర్ 
Kanjadalaya Takshi Kamaksi| కంజదలయ తక్షి కమక్షి 
Kanjadalaya Taksi Kamaksi| కంజదలయ తక్షి కమక్షి 
Kanjam Konjam|కంజం కొంజం 
Kanjam konjam|కంజం కొంజం 
Kanjanabha|కంజనభ  
Kankanda Deivame|కంకంద దైవమె 
Kanmana murugacceyya|కన్మన మురుగచ్చెయ్య
Kanna Tandri Nannu|కన్న తండ్రి  నన్ను 
Kanna Tandri Napai|కన్న తండ్రి  నపై 
Kanna Tandri Nive|కన్న తండ్రి  నివే 
Kanna Va|కన్న వ 
Kanna talli neevu|కన్న తల్లి నీవు 
Kanna tandri naapai|కన్న తండ్రి  నాపై 
Kannaa vaa|కన్నా వా 
Kannaale unnai naan|కన్నాలె ఉన్నై నాన్
Kannaara kandu|కన్నార కందు 
Kannalavo Swaami|కన్నలవో స్వామి 
Kannalavo swaami|కన్నలవో స్వామి
Kannan Enradume|కన్నన్ ఏన్రదుమె
Kannan Varuginra Neram|కన్నన్ వరుగిన్ర నేరం 
Kannan madhura idazhai|కన్నన్ మధుర ఇదజ్హై
Kannan manivannan|కన్నన్ మనివన్నన్
Kannan pirandaan|కన్నన్ పిరందాన్ 
Kannan varugindra neram|కన్నన్ వరుగింద్ర  నేరం
Kannanai Pani|కన్ననై పని 
Kannanidam  eduttu |కన్ననిడం ఏడుత్తు 
Kannatalli Nivu Napala|కన్నతల్లి  నివు నపాల 
Kanne En Kanmaiye|కన్నె ఎన్  కన్మైయె
Kanne en (kanni)|కన్నె ఎన్  (కన్నీ )
Kanneduttaagilum|కన్నెదుత్తాగిలుం
Kannulaara kantinipudu|కన్నులార  కంతినిపుదు
Kannulara Kantinipudu|కన్నులర కంతినిపుదు
Kanta Judumi Okapari|కంత  జుడుమి ఒకపరి 
Kanta Tava Pizha|కాంత తవ పిజ్హ
Kanta joodumi|కాంత జూడుమి
Kantakulanu|కాంతకులను 
Kantanodu Cennu|కాంతనోడు  చెన్ను 
Kantimati Annai|కాంతిమతి అన్నై 
Kanugoni Dhanyudaitini|కనుగొని ధన్యుడైతిని
Kanugontini|కనుగొంటిని
Kanugonu Saukhyamu Kamalajukaina|కనుగొను  సౌఖ్యము కమలాజుకైన
Kanugonu sowkhyamu|కనుగొను  సౌఖ్యము
Kanukontini Shri Ramuni|కనుకొంటిని  శ్రీ రాముని
Kanulu Takani Parakantala|కనులు తాకని పరకాంతల 
Kanulu taakani|కనులు తాకని
Kapaalinam|కాపాలినం 
Kapadu Gananatha|కాపాడు గణనాథ 
Kapali Irukka Vin|కపాలి  ఇరుక్క విన్ 
Kapali karunai nidhi|కపాలి కరునై  నిధి 
Kapali Karunai Nilavu|కపాలి కరునై నిలవు 
Karaangulina|కరాంగులీన 
Karaiyera Vendama|కరైయెర వెండమ 
Karanam Kettu Vadi|కరణం కెట్టు వడి 
Karanamemi Kanane|కరనమేమి కననె 
Karangulina|కరంగులీనా 
Kari Kalabha Mukham|కరి కలభ ముఖం 
Karimukha Varada|కరిముఖ వరద
Karimukha varadaa|కరిముఖ వరదా
Karmame balavanta|కర్మమే బలవంత 
Karpagaambike|కర్పగాంబికె
Karpagame|కర్పగమే 
Karpaka Manohara|కర్పక మనోహర 
Karpakambike Kadaikkan|కర్పకంబికే కడైక్కన్ 
Karpakavalliyun Porpadam|కర్పకవల్లియున్ పొర్పడం 
Karpakavalliyun porpadam|కర్పకవల్లియున్ పొర్పడం 
Kartikeya Gangeya|కార్తికెయ గంగెయ 
Karu Velpulu Niku Sarikaru|కరు వెల్పులు నీకు సరికరు 
Karubaru Seyuvaru Galare|కరుబరు సేయువారు  గలరే 
Karuna Elagante Ni Vidhame|కరుణ ఎలగంటే  నీ విధమే
Karuna Jaladhe Dasharathe|కరుణ జలధే  దశరథే 
Karuna Jaladhi Dasharathi|కరుణ జలధి  దశరథి 
Karuna Juda Rada|కరుణ జుడ రాదా 
Karuna Judavamma|కరుణ జుడవమ్మ
Karuna Judavamma Vinavamma|కరుణ జుడవమ్మ వినవమ్మ
Karuna Judu Ninnu Nammina|కరుణ జుడు  నిన్ను నమ్మిన
Karuna Judumayya Mayayya|కరుణ జుడుమయ్య  మయయ్యా 
Karuna Samudra Nanu|కరుణ సముద్ర  నను 
Karuna elaagante|కరుణ ఎలాగంటే 
Karuna ennadu|కరుణ ఎన్నడు 
Karuna jooda raadaa|కరుణ జూడ రాదా 
Karuna joodavamma|కరుణ జూడవమ్మ 
Karuna joodavayya|కరుణ జూడవయ్య
Karuna joodu|కరుణ జూడు 
Karuna samudra|కరుణ సముద్ర
Karunaa jalade|కరుణా జలదె 
Karunaa jaladhee|కరుణా జలధీ 
Karunaakaram shreekaram|కరుణాకరం శ్రీకరం 
Karunaalaya nidhiye|కరుణాలయ నిధియే
Karunaanidhivani|కరుణానిధివని 
Karunaanidhiye|కరుణానిధియే
Karunai Deivame| కరునై   దైవమె కరునై 
Karunai Kadale| కరునై  కదలే
Karunai Puri Idu| కరునై  పురి ఇదు 
Karunai Puriya| కరునై  పురియ
Karunai Seivai Gajaraja| కరునై  సెవై గజరాజ 
Karunai Sheivaiye| కరునై  షైవైయె
Karunai Varumo Enrenginen| కరునై  వరమో ఏంరేంగినెం 
Karunai kadale| కరునై  కదలే  
Karunakara Madhava|కరుణకర  మాధవ 
Karunakara Murti|కరుణకర  మూర్తి
Karunakara Paramporule|కరుణకర  పరంపొరులే  
Karunakarane Shiva|కరుణకరనే శివ 
Karunalaya Nidhiye|కరుణలయ నిధియే
Karunanidhan Kunj|కరుణనిధాన్ కుంజ్ 
Karunanidhi Ilalo Nivanucunu|కరుణనిధి ఇలలో నివనుచును 
Karunanidhiye Taye|కరుణనిధియే తయే 
Karunato Nannu|కరుణతో  నన్ను 
Karunato nannu|కరుణతొ నన్ను
Karunimpa Idi-varnam|కరుణనింప ఇది -వర్ణం 
Karunimpa idi (varna)|కరుణనింప ఇది (వర్ణం)
Karuninca raadaa|కరుణించ  రాదా 
Karunincutakide|కరుణించుటకిదే 
Karunya Kanda|కరుణ్య కంద
Karuttil Ennalum|కరుత్తిల్  ఎన్నలుమ్ 
Kashi Vishalakshim Bhajeham|కాశి విశాలక్షిమ్ భజేహం 
Kashi Vishalaksim Bhajeham|కాశి విశాలక్షిమ్ భజేహం 
Kathaya kathaya|కథయ కథయ
Kattu jesinaavu|కట్టు జేసినావు 
Katyayani skanda janani|కత్యాయని స్కంద జనని 
Kaumari Gauri Velavali|కౌమరి గౌరి వెలవలి 
Kausumbhavasanopete|కౌసుంభవసనొపెతె
Kavalai Ellam|కవలై ఎల్లం
Kavalaippadaade maname|కవలైప్పదాదె మనమె
Kayarohanesham Bhaja|కయరొహనెషం భజ
Kazhanigal Shuzh|కజ్హనిగల్ షుజ్హ్
Kerala bhootala|కేరళ భూతల 
Kereya neeranu (geetam)|కెరేయ నీరను   (గీతం )
Khanda parashave|ఖంద పరాశవే 
Khelati mama hridaye|ఖేలటి  మమ హ్రిదయే 
Khelati pindaande|ఖేలటి పిందాన్దే 
Kintu Ceyvu Nan|కింతు చేయవు  నాన్  
Kodanda Panikkinai Edu|కోదండ పానిక్కినై ఎదు  
Kodanda Ramam Anisham|కోదండ రామం అనిషమ్ 
Kodanda deekshaa|కోదండ దీక్ష
Kodu bega divyamati|కోడు బెగ దివ్యమతి
Koil ulagellaam|కోయిల్ ఉలాగేళ్లాం 
Kolam Kana Varir|కొలం కన వరీర్ 
Kolani dopariki goppillo|కొలని దోపరికి గొప్పిల్లో 
Koluvaiyunnaade|కొలువైయున్నాడే 
Koluvaiyunnade Kodandapani|కొలవైయున్నాడే కోదండపాణి
Koluvamaregada Kodandapani|కొలువమరెగద కోదండపాణి
Koluvudi bhati|కొలువుది భతి 
Kondalalo nelakonna|కొండలలొ నెలకొన్న 
Koniyaadedu|కొనియాడేదు 
Koniyaadina naapai|కొంచెమైనా నాపై
Koniyada Tarama Ni Mahima Kanakadri|కొనియాడ తరమ నీ మహిమ కనకాద్రి
Koniyadedu Nayeda|కొనియడెడు నాయెడ
Koniyadina Napai|కొనియాడిన నాపై
Konji Konji Va Guhane|కొంజి కొంజి వ గుహానే
Koovi azhaittaal|కూవి అజ్హైత్తాల్
Kori Sevimparare|కోరి సేవింపరారె
Kori bhajincidi|కోరి భజించింది 
Kori sevimparaare|కోరి సేవింపపరే
Kori vaccitinayya|కోరి వచ్చితినయ్య
Korina Varamosagu|కోరిన వరమొసగు
Koti Nadulu Dhanuskotilo|కొటి నదులు ధనుష్కొటిలొ
Koti manmata|కోటి మన్మత 
Kotinaadalu|కొటినాదలు
Kottam adangi|కొట్టం ఆదండీ 
Kowsalyaa nandana|కౌసల్యా నందన
Kowsumbhavasanopete|కౌసుంభవసనొపెతె
Kreedati vanamaali|క్రీడతి వనమాలి
Krishna paahi|కృష్ణ పాహి
