shadjamam|షడ్జమం 
Lekana Ninnu Juttuukonnaru|లెకనా నిన్ను జుట్టునొనర్తు
Lekanaa ninnu|లేకనా నిన్ను
Lemidelpa Peddalevaru|లేమిదెల్లపుడు పెద్దలెవరు
Lemidelpa pedda|లేమిదెల్లా పెద్దగ
Lilaganu Jucu Gunashilula|లీలగానను జూచు గుణశీలుల
Lokavana Catura Pahimam|లోకవన చతుర పాహిమాం
Lokavana catura|లోకవన చతుర
Ma Dayai Nidhiyenum|మా దయై నిధియనెఁ
Ma Janaki Cettabattaga|మా జానకి చేతబట్టగ
Ma Kulamununakihapara|మ Kulamununakihapara
Ma Ma Ni Ni|మ మా ని ని
Ma Madhura|మ మధుర
Ma Ramacanduniki Jayamangalam|మా రామచంద్రునికి జయమంగళం
Ma Ramanan Uma Ramanan|మా రమణన్ ఉమా రమణన్
Maa jaanaki|మ్మా జాణకి
Maa kulamuna|మ్మా కులమున
Maa madhura|మ్మా మధుర
Maa mahaapaarata|Maa మహాపతిరత
Maa raamacandruniki|మా రామానందరునింకి
Maa ramanan|మ్మా రమణన్
Maadhava Hridi|మాధవ హ్రది
Maadhava hare|మహోదావ హరే
Maadhava hridi (version 1)|మహోదావ హృది (వర్షన్ 1)
Maadhava hridi (version 2)|మహోదావ హ్రది (వెర్షన్ 2)
Maadhava maamava (laali)|మహದెౕవ మಮావ (లలి)
Maakelaraa vicaaramu|మాకేలాకరా విచారము
Maal marugaa|మళ్ మారుగా
Maal marugan (varnam)|మాళ్ మరుగన్ (వర్ధనం)
Maalaaginen velavaa|మసలగనిఁ వేళవా
Maamava maheshwari|మామేవ మహేశ్వరి
Maamava pattaabhiraama|మామేవ పట్టాభిరాభిరామా
Maamava raghuraama|మాయమేవ రఘురామా
Maamava satatam|మాయమేవ సతతం
Maamava vidyaadhiraaja|మాయమేవ విద్యాధిరాజ
Maamavasadaa jananee|మంగళవాసదా జననీ
Maamavatu shree|మావవతు శ్రీ
Maamayoora meedil eri|మాయామయోర మీదిల్ ేరి
Maanamu kaavalenu|మంగళము కావలె
Maanamu ledaa|మంగళము లేదా
Maanasa guruguha|మనాస గురుగుహ
Maanasa sancarare|మనాస సంచరణే
Maanasa shaashvata|మనాస ష఼శ఻వత
Maane moham (varnam)|మాయనే మోహం (వర్ణనం)
Maanida janmam|మాణద జన్మం
Maapaala velasi ika|మపబాల వెలసి యింకా
Maapati naamamu|మాపతి నామాసము
Maaravairi ramani|మాయావగిరి రమణి
Maargam kaattiduvaai|మాతర్ం కాటిడువాయ్
Maargamu telupave|మహార్గము తెలుసువే
Maarubalka kunna|మాయారుబల్క కుందన
Maataada baaradeno|మాతకద బాారదనో
Maataadavemi naato|మాటాటవేమి నాతొ
Maatanga vadanaa|మాతంగ వదనాా
Maate malayadwaja (daru varnam)|మాతే మలయధ్వజ (దర్భలు వర్ణనం)
Maati maatiki|మతి మాటికికి
Maavoor valam|మావవోరు వలం
Maavoor valar|మావవోలు వలార్
Maayaa ateeta|మయాా ఏతా
Maayaa maanusha|మావయ్యా మాఅనూష
Maayanai mannu|మయాణై మంజు
Maaye citkale (note)|మయే చిత్తకాలే (గమనిక)
Maaye tvam|మయే త్వమ్
Madanaanga mohana|మదనాంగ మోహన
Madarai Ninaiyade|మదరై నినైయదే
Madhava Maya|మాధవ మాయ
Madhukaitabha Samhartri|మధకైటభ సమహర్త్రి
Madhura madhura|మధుర మధుర
Madhuram Madhuram|మధురం మధురం
Madhuramba Jayati|మధురంబా జయతి
Madhurambikayam|మధురబింబాయం
Madhurapura Nayike|మధురాపుర నాయికే
Madhurapuri Kalyani|మధురపురి కళ్యాణి
Madhusudanam Aham|మధుసూదనం అహమ్
Madilona yocana|మదిలోన యచన
Maduraapura naayike|మధురపుర నయ్యికే
Maguva Nine Kori|మగువ నిన్నే కోరి
Maha Ganapate|మహా గణపతే
Maha Ganapate Palayashu|మహా గణపతే పాలయశ్శు
Maha Ganapati Va Va|మహా గణపతి వ వ
Maha Ganapatim Manasa Smarami|మహా గణపతిం మానస స్మరామి
Maha Ganapatim Vande|మహా గణపతిఁ వందే
Maha Ganesham|మహా గణేశం
Maha Laksmi Karunarasalahari|మహా లక్స్మి కరుణారసలహరి
Maha Tripurasundari|మహా త్రిపురసుందరి
Mahaa ganapate|మహా గణపతే
Mahaa ganapati|మహా గణపతి
Mahaa ganapatim|మహా గణపతిం
Mahaa tripurasundari|మహా త్రిపురసుందరి
Mahaabala girisham|మహాబలా గిరిషం
Mahaabalaadhi|మహాబలాధి
Mahaabaleshvara|మహాబలేశ్వర
Mahaadeva shiva|మహాదేవ శివ
Mahaadeva shiva shambho|మహాదేవ శివ శంభో
Mahaadhevam|మహద్హేవం
Mahaakaali|మహాకవలి
Mahaaragjni|మహారాఘవుని
Mahabaladi Nilaye|మహాబలాది నిలయే
Mahadeva Kancipuradhisha|మహాదేవ కంసిపురధిష
Mahadeva Shiva Shambho|మహాదేవ శివ శంభో
Mahadeva Sutam Aham|మహాదేవ సుతమ్ అహమ్
Mahadevena Palitosmyaham|మహాదేవేన పాలితాతోస్మ్యహమ్
Mahaganapatim Bhajeham|మహాగణపతిమ్ భజేహమ్
Mahakali Maharagjni|మహాకాళి మకరగ్ని
Mahalaksmi Jaganmata|మహాలక్ష్మి జగన్మాత
Mahaniya Madhura|మహనీయ మధుర
Mahaniya Manas-sulive|మహనీయ మానస్-సులైవ్
Maharagjni Mahalakshmi|మహారాజగ్ని మహాలక్ష్మి
Mahasuram Ketum|మహాసురమ్ కేతుం
Mahatmule Teliyaleru|మహాత్ములే తెలియలేరు
Mahavishnu Sodari|మహావిష్ణు శూదరి
Mahilo Amba Nidu Mahimatishayamenna|మహిలో అంబా నిటు మహిమతిశయ్యన్న
Mahima Dakkincukovayya|మహిమ డాకింకికోవయ్య
Mahima dakkincukovayya|మహిమ డాకింకికోవయ్య
Mahisasura Mardhini-varnam|మహిసాసుర మర్ధిని-వర్ణనం
Mahishasura Mardani|మహిషాసుర మర్దిని
Mahita Pravrddha Shrimati|మహిత ప్రవృద్ధా శ్రీమతి
Mahita pravrddha|మహిత ప్ర్రుద్ధ
Maitreem bhajata|మైరేమ్ భజాతా
Makelara Vicaramu|మకెల్లర విచరము
Mal Maruga Sanmukha|మల్ మారుగ సంముఖ
Mal Marugan Murugan|మల్ మరుగన్ మురుగన్
Malaginen Velava|మలగనిఁ వెలవ
Malaiyaade maname|మలైయదె మనమె
Malaiyade Maname|మలైయదే మనోరమే
Malarinai Tunaiye|మలారినై తునరైే
Malarinai tunaiye|మలారినై తునరైే
Mama Acaryam|మమ అచయం
Mama Hrdaye Vihara Dayalo|మమ హ్రదయే విహార దయాలో
Mama Kuleshvaram|మమ కుశలేశ్వరం
Mamava Ganalola|మామవ గణాలోల
Mamava Jagadisvara|మామవ జగదీశ్వర
Mamava Karunaya|మామవ కరుణయ
Mamava Minaksi Rajamatangi|మామవ మింక్సి రాజమాతంగంగి
Mamava Padmanabham|మామవ పద్మనాభం
Mamava Pattabhirama|మామవ పట్టాభిరామా
Mamava Raghurama|మామవ రఘురామ
Mamava Raghuvira Martyavatara|మామవ రఘువీర మర్త్యవతార
Mamava Sada Janani|మామవ సదా జనని
Mamava Sada Karunaya|మామవ సదా కరుణయ
Mamava Sada Varade|మామవ సదా వరదే
Mamava Sarasvati|మామవ సరస్వతి
Mamava Satatam Raghunatha|మామవ సతతం రఘునాథ
Mamavasrita|మవాశ్రిత
Mamavasu Govinda|మామవసు గోవింద
Mamavatu Shri Sarasvati|మమవతు శ్రీ సరస్వతి
Mammu Brocu Patla|మమమ్ము బ్రోచు పట్ల
Mana malar (jaavali)|మానా మలర్ (జావళి)
Manade Maravade|మనదే మరవడే
Manade maravaade|మనదే మారావదే
Manadirk-kughandadu|మనదిర్కె-కుఘందడు
Manadirkkishainda|మనదిర్కకిషాంద
Manadirkkishainda Manalan|మనదిర్కకిషాంద మనలన్
Manadirku Ughandadu|మనదిర్కు ఉఘందడు
Manadu Kalangade|మనదు కలంగదె
Manam Irangada|మన్నం ఇరంగడ
Manamadanguvade|మనమడంగవడే
Manamalar Alittu Maiyal|మనమలర్ ఆలితంతు మైయల్
Maname Kanamum|మనమె కనముఁ
Maname nee|మనమె నీ
Maname unakkhitamaai|మనమె అఙ్ఖితమాయి
Manamohana Manini Nipai-varnam|మనమోహన మానిని నిప్పై-వర్ణనం
Manamohanaa (taana varnam)|మనోమోహనా (తనా వర్ణం)
Manamu Kavalenu|మనము కవళేను
Manamu Leda|మనము లేడ
Manasa Etulortune|మానస ఈతులోట్యూన్
Manasa Guruguharupam|మానస గురుగుహరుం
Manasa Mana Samarthyamemi|మానస మన సమర్థ్యమిమి
Manasa Ramuni|మానస రాముని
Manasa Sancarare Rame|మానస సంచరణే రమే
Manasa Shri Ramacandruni|మానస శ్రీ రామచంద్రుని
Manasa Shri Ramuni Dayaleka|మానస శ్రీ రాముని దయలేక
Manasaa etulortune|మనసా ఎటులోట్యూన్
Manasaa mana|మనసా మన
Manasaa raamuni|మనసా రాముని
Manasaa shree raamacandruni|మనసా శ్రీ రాముడందరుని
Manasaa shree raamuni|మనసా శ్రీ రాముని
Manasaaramati|మానసరోతి
Manasarakane Nammaka|మనసునసనే నమమక
Manasaramatiyani Shivan|మనసారాతియని శివన్
Manasavrta Garvametike|మనసవక్త గర్వామితికే
Manasi Dasaca|మనసి దచ్చ
Manasi Dussaham|మనసి దుస్సాహం
Manasu Karagudemi|మనసు కరగుతనేమి
Manasu Nilpa Shakti|మనసు నిల్ప శక్తి
Manasu Rada|మనసు రాద
Manasu Svadhinamaina|మనసు స్వధానమైనా
Manasu Visaya Nata Vitula|మనసు విస్య నట విత్తుల
Manasu karagi|మనసు కరగి
Manasu nilpa|మనసు నిల్ప
Manasu swaadheenamaina|మనసు స్వాదహీననైన
Manasu vishhaya|మనసు విశ్వయ
Manasuloni Marmamulu|మనసులొని మర్మములు
Manasuloni marmamu|మనసులొని మర్మము
Manasuna Nera|మనసున నెర
Manasuna nera|మనసున నెర
Manavakula Bhusana|మనవకుల భహునన
Manavi Cekonavayya|మనవి చేకొనవయ్యా
Manavi naalaginca|మానవి నాగానిచ
Manavinalakinca Radate|మనవనిలకిన్చ రతేవ
Manavini Vinuma|మనవాహిని వినుమా
Manavini vinumaa|మనవని వినుతమ్మా
Manavyala Kimpavademi|మనవయాల కింపవదేమి
Manayata Manjula|మనాయత మంజుల
Manci panadiraa (taana varnam)|మనర్చి పానాదిర (తనా వర్ణం)
Mandara (geetam)|మందర (గీతాచారం)
Mandara dharare (geetam)|మందర ధారే (గీతాచారం)
Mandaradharasundara|మందారధరససుందర
Mangala Dayaka|మంగళ దయక
Mangala Devate Paradevate|మంగళ దేవతే పరదేవతే
Mangala Roopiniye|మంగళ రూపిణియె
Mangala Varadayaki|మంగళ వరదాయకి
Mangala Vinayakane|మంగళ వినాయకునే
Mangala gunaarnava|మంగళ గుణారనవ
Mangala roopiniye|మంగళ రూపిణియె
Mangala yaazhishai|మంగళ యాజహిషై
Mangalaalaya maamava|మంగళాలయ మామేవ
Mangaladaayini|మంగళదాయిని
Mangalam Bhujaga|మంగళం భుజగ
Mangalam bhavatu|మంగళం భవతు
Mangalam pongidum (kilikkanni)|మంగళం పొంగిడుమ్ (కిలికాన్ని)
Mangalamaay vaazhga|మంగామయయ్ వజఴగ
Mani Noopura Dhaari|మణి నూపుర ధరి
Mani noopura dhaari|మణి నూపుర ధరి
Manonmani Mandahasini|మానోమణి మందహాసిని
Manonmani mandhahaasini|మనోన్మణి మన్ధానహాసిని
Mantrini|మన్త్రిని
Mantrini Matanga Tanaye|మన్త్రిని మతంగ తనయే
Manujudai putti|మనుజుడై పుట్టి
Mapala Velasi Ika Mamu|మపాల వెలసి యిక మమియు
Marace Vadana Rama Ninu|మరచే వదన రామా నిన్నూ
Marace vaadana|మరచే వాదాన
Maracedi Nyayama|మరసెడి న్యయమ
Maracitivemo Nannu Maravakura|మరసితివో నన్ను మరవకురా
Maragata Manimaya|మరకత మణిమయ
Maragatavalleem|మరగటవల్లెం
Marakata Lingam Cintayeham|మరకత లింగం చింతయేహమ్
Marakata Mani Varna|మరకత మణి వర్ణం
Marakata Simhasana|మరకత సింహసనం
Marakata mani|మరకత మణి
Marakatamani|మరకతమణి
Marakatamani Chaye Maye|మరకతమణి చయె మాయే
Marakatamani Nila|మరకతమణి నిల
Marakatavallim Manasa Smarami|మరకతావలిం మానస స్మరామి
Marakoti Sundari|మరకోటి సుందరీ
Maranda bhaashini|మరంద భాషిణి
Maravaadiru maname|మరవదిర్రు మనమె
Maravairi Ramani Manjubhasini|మారవగిరి రమణి మంజుభాషిణి
Maravakara Nava Manmatha|మరవకుర నవ మన్మథ
Maravakaraa nava|మరవకరా నవ
Maravakave O Manasa|మరవకువే ఓ మనసా
Maravakave o manasaa|మరవకువే ఓ మనసా
Maravamal Eppadiyum|మరవమల్ ఎపప్డయ్యుం
Mareya beda manave|మరియ బెద మనవే
Mari Emi|మారి ఈఎంఐ
Mari Mari Ninne Moralida|మారి మారి నిన్నె మొరాలిదా
Mari Mari Vaccuna Ma|మారి మారి వచ్చున మా
Mari mari ninne|మారి మారి నిన్నె
Marivere Dikkevarayya|మరియెరె దీక్షెవరయ్య
Marivere Dikkevvaru|మరివెరె డిక్కెవ్వరు
Marivere Gati|మరివరె గతి
Marivere Gati Evaramma|మరివెరె గతి ఏవరమ్మ
Marivere dikkevarayyaa|మరివెరె దిగేవరయ్యా
Mariyaada gaadayya|మరియాడ గదాయయ్య
Mariyaada gaaduraa|మరియాడ గాదురా
Mariyaadai taano|మరియాదాయి తానో
Mariyada Gadayya|మరియాడ గదయ్య
Mariyada Gadura|మరియాడ గదుర
Mariyada Teliyakane|మరియాడ తెలియకనే
Marubalkakunnavemira|మరుపాలకమునవీర
Marubari Orvalene|మరుబరి ఓర్వలేనే
Marubari Talalenura|మరుబరి తలలనెర
Marugelara O Raghava|మరుగెల్లర ఓ రాఘవ
Marugelaraa o|మరుగలాకరా ఓ
Marulu Konnadira|మరులు కొండనాదిరా
Marulu Konnane|మరులు కొనినానే
Marulu konnadiraa (jaavali)|మరులు కొండనదిలా (జావళి)
Maruvaka Daya Mohananga Napai|మరువక దయ మోహనాంగ నబాయి
Maruvakadaya mohanaanga|మరువకదయ మోహనాంగ
Mata Innum Vata|మట ినఁ వత
Matada Bekayya|మత్తడ బెకయ్య
Matangi Marakatangi|మాతంగి మరకతాంగి
Matangi Shri Raja Rajeshvari|మాతంగి శ్రీ రాజ రాజేశ్వరి
Mate Malayadwaja-varnam|సహచరుడు మలయధ్వజ-వర్ణనం
Mathuraa nagarilo|మాతురలా నగరిలో
Mati Matiki Delpavalena|మతి మతికి దెలపవలెనా
Matiraakshi neepai (varnam)|మతిరాక్షి నీవై (వర్ణనం)
Matsi Mighunda|మత్సి మిఘుంద
Mavoor Valam|మావవోలు వలం
Mavoor Valar|మావవోలు వలార్
Mayamma Nannu Brovavamma|మాయమ్మ నన్ను బ్రోవవమ్మా
Mayammayani Ne Pilacite|మాయమాయని నే పిలిస్తే
Maye Tvam Yahi Mam Badhitum|మయే త్వమ్ యాహి మామ్ బద్హితుమ్
Mayil Vahana Valli|మయిల్ వాహన వల్లి
Mayilapuriyil Vanda|మయిలపురీయిల్ విందా
Mayuranatham Bhajami|మాయాసురనాథం భజామి
Meenaakshi jayakaamaakshi (geetam)|మీనాక్షీ జయకామాక్షి (గీతాచారం)
Meenalocana brova|మీరాలోచన బ్రోవ
Meenalocani Amba|మీరాలోచని అంబా
Meenalocani ambaa|మీరాలోచని అంబా
Meevalla gunadoshham|మీవల్ల గుణదోషం
Melu Melu Rama Nama|మేలగు మేలగు రామ నామము
Meluko Dayanidhi|మేలుకో దయానిధి
Melukovayya Mammeluko|మేలుకొవయ్య మమ్మేరుకో
Menu jooci|మెనూ జూచి
Mere janam maran ke saathi (bhajan)|మేరే జనం మారన్ కే సాథీ (భజన)
Mere to giridhara gopaala (bhajan)|మేరే కి గిరిధర గోపాళ (భజన)
Meru Samana Dhira Varada|మేరు సమయాన ధీర వరదా
Meru samaana|మేరు సమానా
Mina Locana Brova Yocana|మినా లోచన బ్రోవ యనోచన
Mina Nayana Nivu|మినా నయన నివు
Minaksi Jayata|మినకసి జయత
Minaksi Memudam Dehi|మినకసి మేమునం దేహి
Mithilesha tanaya|మిథిలేష తనయ
Mitri Bhagyame|మిత్రి భాగ్యమే
Mitri bhaagyame|మిత్రి భాగ్యమే
Mivalla Guna Dosamemi|మివళ్ళా గుణం దోచనేమి
Modi jesevelraa|మోడీకి జేజేలు
Mohana Krsna|మోహన క్రస్న
Mohana Rama Mukhajita|మోహన రామ ముఖజిత
Mohana Vamshi|మోహన వంశి
Mohana raama|మోహన రామా
Mohana valai veeshinan|మోహన వలై వెలిశీను
Mohanakara mutukumara|మోహంకార ముత్తుమార
Mohanamayi Tava|మోహమయి తవ
Moksamu Galada Bhuvilo|మోక్షము గలద భువిలో
Mokshhamu galadaa|మోక్షము గలదా
Mona nishiyinile|మోనా నిషియినలే
Mookaambikaam|మూకాంబికాం
Moola Prakrti|మూలా ప్రక్రుతి
Moola prakrti|మూలా ప్రక్రుతి
Moolaa dhaara moortee|మూలా ధారా మూరెటీ
Moovaasai konda|మూవాశై కొండ
Moovasai Konda|మూవసాయి కొండ
Mosaboku Vinave Satsahavasamu|మోసాఓకు వినవే సత్సహవాసము
Mosaboku vinave|మోసాఓకు వినవే
Mrdu Bhasana Nata Vibhisana|మ్రుండు భసన నట విభిసన
Mrdu bhaashana|మ్రుండు భష఼న
Mrgapaane|Mrgapaane
Mrityunjayam|మృత్యుజయం
Mrtyunjaya krpaakara|మృత్యుంజయ క్రాపకర
Mucakunda varada (note)|ముచకుంద వరదా (గమనిక)
Muccata brahmaadulaku|ముచ్చేట బ్రహ్మదులకూ
Muccataina naadavemiraa|ముచ్చేనైన నాదావీర
Muddugaare yashoda|ముద్దుగారే యశోద
Muddumomu Elagu Celangeno|ముద్దుమోము ఎలుగు చెలంగెనో
Muddumomu elaagu|ముదముమోము ఏలనగు
Mukhattai kattiye|ముఖతై కట్టితియె
Mukti Alikkum Tillai|ముక్తి అలిక్కుం దున్నలయి
Muladhara Cakra|మూలాధార చక్ర
Muladhara Murti|మూలాధార మూర్తి
Mummurtulu Gumigudi|ముమ్ముటులు గుమిగుడి
Mummurtulu gumigoodi|ముమ్ముటులు గుమిగూడి
Mundu Venuka Iru Prakkala|మునగ వేణుక ఇరు ప్రకాశకాల
Mundu venuka|మునగ వేణుకా
Munnu Ravana Badha Norvaka|మున్ను రావణ బధ నొవ్వక
Munnu raavana|మున్ను రావన
Munupe Teliyaka Poyena|మునుపే తెలయక పొయేనా
Munupe teliyaka|మునుపే తెలయక
Muraleedhara gopaala|మురళీధర గోపల
Muralidhara Gana|మురళీధర గణ
Muralidhara Gopala|మురళీధర గోపాల
Muralidhara Mana|మురళీధర మన
Muripemu Galigegada|మురిపెము గలీగెగద
Muripemu galigegadaa|మురిపెము గలీగెగదా
Muruga Muruga Enral|మురుగన మురగ ఎన్రల్
Muruga Muzhumadi|మురుగన ముజ్హుమది
Muruga Tirumal Maruga|మురుగన తిరుమల్ మారుగ
Murugaa murugaa enraal|మురుగా మురుగా ఎనరావల్
Murugaa murugaa enru|మురుగా మురుగా ఎన్రు
Murugaa tirumaal|మురుగా తిరుమాళ్
Muruganai Bhaji|మురుగంతై భజ్జీ
Muruganukkoru|మురుగనుకోరు
Muruganukkoru Shidan|మురుగనుకోరు శిడన్
Mutyaala cavikelo|ముత్యాజాల చవికేలొ
Na Ceyi Vidvakura|నా సేయి విద్వకురా
Na Dhirana Tom-tillana|నా ధిరన టామ్-తిల్లానా
Na Dhiru Dhiru Dhim|నా తిరు తిరు ధూ
Na Diru Diru Dhim Tanana-tillana|నా దీరు దిరు దను తనన-తిల్లానా
Na Dru Dru Tom Dru Na-tillana|నా ద్రు ద్రు టామ్ ద్రు నా-తిల్లానా
Na Jane Tava|న జానే తవ
Na Jivadhara Na Nomuphalama|నా జీవధార నా నోముఫలమా
Na Manavi Ni Vinavayya Nagaraja Shayana|నా మనవి నీ వినవయ్యా నాగరాజ శయన
Na Manavini Vinu I Vela|నా మనవనిని విను నేను వేళ
Na Moralakimpavemi|నా మొరాలకిమ్పవేమి
Na Moralakinci|నా మొరలకిన్చి
Na Moralanu|నా మొరాలనూ
Na Moralanu Vini Emaravalena|నా మొరాలనూ విను ఏమరాలేనా
Na Pali Shri Rama Bhupalaka|నా పాలి శ్రీ రామ భూపాలక
Naa jeevadhaara|Naa జీవధారా
Naa moraalakimpa|నా మొరాలకింప
Naa punyamu|నా పుణ్యము
Naa tappulanu|నా టప్పులచేతను
Naada  tanumanisham|నాద తనుమననిషం
Naada hare (ashhtapadi)|నాద హరే (అష్టపది)
Naada nilai|నాద నిలయై
Naada tatva|నాద తత్త్వ
Naada vindu kalaadi|నాద వినోదు కాలాది
Naadaadina maata|నాదాదిన మాటా
Naadaanu santaana|నాదానూ సంతతనా
Naadaloludai|నదలలోలుడై
Naadasukham tarum|నాదాసుఖం తరుం
Naadhru dheemdheem (tillaanaa)|నధూ ధీంధీమ్ (తిలకా)
Naadhrudhru dheem (tillaanaa)|నధీరుధూ ధీమ్ (తిలకా)
Naadopaasanace|నాదోపాశనసే
Naadupai balikeru|నావుడవై బలికేరు
Naagalingam|నాగలింగం
Naakabhaya varamosagi|నకభయ వరమస్గి
Naalaagude|నాకలగూడె
Naama kusumamulace|నమ కుసుమములచే
Naamamulanu seyare|నయములును సేయగా
Naamamuravu|నామురావు
Naan en seiven|నాన్ డన్ సీవెన్
Naan oru vilayaattu bommayaa|నాన్ ఒరు విలయట్టు బొమ్మమయా
Naanaati batuku|నతనతి బటుకకు
Naaraayana hari|నారయణ హరి
Naaraayana naaraayana|నారయణ నారయణ
Naaraayana te namo namo|నానారయణ తే నమో నమో
Naaraayanaa|నానారయణా
Naaraayanaaya namo|నానారయణాయ నమో
Naaraayanamuraa naraka|నమరయణముర నరక
Naarada gaana|నరాదా గాన
Naarada gaanalola|నరాదా గానలోల
Naarada guruswaami|నరాదా గురుస్వహి
Naaradamuni vedalina|నానారదముని వేదలిన
Naatakapriyaa inda|నతకప్రియా ింద
Naatha brovave|నథ బ్రోవవే
Naati maata|నతి మాటా
Naavukkarashanai|నావుకకరషణై
Naayeda vancana|నయ్యెద వనకానా
Naayen unaiye|నయ్యెన్ ఉనాయె
Nada Loludai|నాద లొలుతై
Nada Nilai|నాద నిలయై
Nada Rupini|నాద రూపాణి
Nada Sudha Rasambilanu|నాద సుధా రసాబిలిచేతను
Nada Tanumanisham Shankaram|నాద తనుమానిషం శంకరమ్
Nadaci Nadaci Cucera|నడకి నడకి కుచేరా
Nadaci nadaci|నడకి నడకి
Nadadina Mata Nedu Tappavaladu|నడచిన మాతా నెందు తప్పివలదు
Nadam Adum Deivame|నామ్ అమ్ దేవమే
Nadanu Santana|నాదనూ సంబరాలు
Nadasukham|నతసుఖం
Nadhru Dhimdhim|నభ్రు ధిమ్హిం
Nadhru Dhru Dhim|నహ్రు ధూ ద్ే
Nadhrudhru Dhim|నాధీరుధూ దహిం
Nadhrudhru Dhim Tanana-tillana|నతహ్రుధూ దహిం తనన-తిల్లానా
Nadiri Dhittom Tanana-tillana|నదిరి ధితటామ్ తనన-తిలచన
Nadiri Diri Tom Tadirana-tillana|నదిరి దిరి టామ్ తదిరాన-తిలన
Nadiri Tomdiri Taddhim-tillana|నదిరి తోడిరి తద్దెవాని-తిలచన
Nadopasanace Shankaranarayana|నాదోపాశనచే శంకరనారాయణ
Nagagandhari Raganute|నాగాంధరధారి రఘునుతే
Nagalingam Bhajeham|నాగలింగం భజేం
Nagalingam Namami Satatam|నాగలింగం నమామి సతతం
Nagumomu Ganaleni|నగుమోము గనలనేని
Nagumomu galavaani|నగముమోము గలవాని
Nagumomu ganaleni|నగుమోము గనలనేని
Nahire nahi shankaa|నాహైర్ నహీ శంకకా
Nakabhaya Varamosagi|నభకయ వరమస్గి
Nal Vazhkaiye|నాల్ వాజ్హకైయే
Nalagude|నలగుడె
Nalai Varum Enre Nambalama|నాలై వరుం ఎఎన్నార్ నబలమా
Nale Nalla Nal|నన్నే నల్లా నాల్
Nalina locana|నలిగిన లోచన
Nallani meni|నల్లాని మెనీ
Nama Kusumamulace Pujince|నామ కుసుమములచే పుజిచె
Nama Shravana Sukham|నామా శ్రవణ సుఖం
Namaami vighna vinaayaka|నమామి విఘ్న వినాశక
Namaami vijayaam|నమామి విజయమ్
Namakkini Bhayamedu|నమ్మకిని భయనెడు
Namami Shri Satya|నమామి శ్రీ సత్య
Namami Vighna Vinayaka|నమామి విఘ్న వినాయక
Namamu Na Jivamu|నామము నా జీవనము
Namaste Paradevate|నమస్తే పరదేవతే
Nambi kettavar|నంబి కేట్టవార
Nambi kettavar illavo|నంబి కెత్తావార ఇల్లవో
Nambik Kettavar|నంబియక్ కెత్తావర్
Nambinen ayyaa|నంబినెన్ అయ్యా
Nambittaan irukkiren|నంబితాన్ ఇరుక్కిరెన్
Nambum Anbarkarulum-varnam|నంబుఁ అన్బరకరులఁ-వర్ణనము
Nammaka Ne Mosa Bodunaa|నమ్మక నే మోస బోదునా
Nammaka ne|నమమక ನెౕ
Nammammaa shaarade|నమ్మామ్మా శారదే
Nammi Vaccina Nannu|నమ్మి వచ్చె నన్ను
Nammi vaccina|నమ్మి వచ్చనా
Nammina Varini|నమ్మినా వారధిని
Nammina Varini Maraccedi|నమ్మినా వారిణి మరచ్చెడి
Nammina vaarini|నమ్మినా వైరనీ
Namo Namo Raghavaya|నమో నమో రాఘవాయ
Namo hiranya|నమో హిరణ్య
Namo namo raaghavaaya|నమో నమో రాఘవాయ
Namo namo raghukula naayakaa|నమో నమో రఘుకుల నయాకా
Nan En Seiven|నాన్ డన్ సీవెన్
Nan Enna Tavam|ణ ంన తవం
Nanda Gopala Mukunda|నంద గోపాల ముకుంద
Nanda Nandana|నంద నందన
Nandanare Undan|నందనన్ే ఉాన్
Nandasuta|నందసూత
Nandikeshwaram namaamyaham|నందికేశ్వరం నమామాహం
Nandisham Vande|నందిషం వందే
Nane Unai|నన్నే ఉనాయి
Nanganallur|నంగనల్లూరు
Nannu Brocutakevarennaru|నన్ను బ్రోచుటవేనెనరు
Nannu Brocutaku|నన్ను బ్రోచుటాకు
Nannu Brova Jagelara|నన్ను బ్రోవ జక్కెలారా
Nannu Brova Nikinta|నన్ను బ్రోవ నింత
Nannu Brova Rada|నన్ను బ్రోవ రాదా
Nannu Brova Rada O Jagadamba|నన్ను బ్రోవ రాదా ఓ జగదంబా
Nannu Brovakanu Vidavanura|నన్ను బ్రోవకను విధవనూర
Nannu Brovavamma|నన్ను బ్రోవవమ్మా
Nannu Brovu Lalita Vegame|నన్ను బ్రోవు లలితా వేగేమ్
Nannu Brovumani|నన్ను బ్రోవమని
Nannu Kanna Talli|నన్ను కన్యా తలి
Nannu Karuninchi Brovave Shankari|నన్ను కరుణించి బ్రోవవే శంకరి
Nannu Vidaci Kadalakura|నన్ను విడచే కడలకురా
Nannu brova|నన్ను బ్రోవ
Nannu brova nee|నన్ను బ్రోవ నీ
Nannu brovumani|నన్ను బ్రోవమని
Nannu vidaci|నన్ను విడనీ
Nannubrova raadaa|నన్నుబ్రోవ రాదా
Nannukanna talli|నన్నుకొన్నా తలి
Nanoru Siru Vinai|ననోరు సిరూ విందై
Nanoru Vilayattu|ననోరు విలయట్టు
Nanu Palimpa Nadaci Vaccitivo|నను పలుకంప నడచిరి వచ్చితివో
Nanu brovakanu|ననుు బ్రోవకను
Nanu paalimpa|ననుు పకలంప
Napaali shree raamaa|నాపాలి శ్రీ రామా
Narada Gana|నారద గణ
